DATAFLOW,LAST UPDATE,freq,indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,EU27_2020,2015,1.9,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,EU27_2020,2016,1.9,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,EU27_2020,2017,1.9,e
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,EU27_2020,2018,1.8,e
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,EU27_2020,2019,1.8,e
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,EU27_2020,2020,1.6,e
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,EU28,2009,1.9,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,EU28,2010,2.0,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,EU28,2011,2.0,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,EU28,2012,1.9,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,EU28,2013,1.9,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,EU28,2014,1.8,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,EU28,2015,1.9,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,EU28,2016,1.9,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,FI,2009,2.5,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,FI,2010,2.5,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,FI,2011,2.5,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,FI,2012,2.4,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,FI,2013,2.5,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,FI,2014,2.5,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,FI,2015,2.5,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,FI,2016,2.5,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,FI,2017,2.4,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,FI,2018,2.4,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,FI,2019,2.4,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,FI,2020,2.4,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,FR,2009,2.0,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,FR,2010,2.1,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,FR,2011,2.0,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,FR,2012,2.0,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,FR,2013,1.9,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,FR,2014,1.9,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,FR,2015,1.9,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,FR,2016,1.9,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,FX,2010,2.1,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,FX,2011,2.1,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,GE,2009,0.9,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,GE,2010,1.1,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,GE,2011,1.3,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,GE,2014,2.2,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,GE,2015,2.4,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,GE,2016,2.6,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,GE,2017,2.7,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,GE,2018,2.8,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,GE,2019,3.0,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,HR,2009,1.2,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,HR,2010,1.2,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,HR,2011,1.3,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,HR,2012,1.3,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,HR,2013,1.4,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,HR,2014,1.4,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,HR,2015,1.4,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,HR,2016,1.7,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,HR,2017,1.5,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,HR,2018,1.5,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,HR,2019,1.5,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,HR,2020,1.3,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,HU,2009,2.4,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,HU,2010,2.4,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,HU,2011,2.3,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,HU,2012,2.2,b
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,HU,2013,2.0,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,HU,2014,2.0,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,HU,2015,2.1,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,HU,2016,2.0,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,HU,2017,1.9,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,HU,2018,1.7,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,HU,2019,1.8,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,HU,2020,1.5,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,IE,2009,0.7,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,IE,2010,0.7,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,IE,2011,0.6,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,IE,2012,0.6,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,IE,2013,0.6,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,IE,2014,0.6,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,IE,2015,0.7,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,IE,2016,0.7,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,IE,2017,0.7,
