"LOCATION","Country","TRANSACT","Transaction","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CZE","Czech Republic","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2004","2004","USD","US Dollar","0","Units",,,20911.935483,,
"CZE","Czech Republic","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2005","2005","USD","US Dollar","0","Units",,,22045.99888,,
"CZE","Czech Republic","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2006","2006","USD","US Dollar","0","Units",,,23859.060519,,
"CZE","Czech Republic","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2007","2007","USD","US Dollar","0","Units",,,26221.622963,,
"CZE","Czech Republic","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2008","2008","USD","US Dollar","0","Units",,,27853.549898,,
"CZE","Czech Republic","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2009","2009","USD","US Dollar","0","Units",,,27635.671734,,
"CZE","Czech Republic","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2010","2010","USD","US Dollar","0","Units",,,27768.403198,,
"CZE","Czech Republic","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2011","2011","USD","US Dollar","0","Units",,,28999.754757,,
"CZE","Czech Republic","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2012","2012","USD","US Dollar","0","Units",,,29258.904853,,
"CZE","Czech Republic","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2013","2013","USD","US Dollar","0","Units",,,30828.526409,,
"CZE","Czech Republic","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2014","2014","USD","US Dollar","0","Units",,,32504.217576,,
"CZE","Czech Republic","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2015","2015","USD","US Dollar","0","Units",,,33909.309243,,
"CZE","Czech Republic","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2016","2016","USD","US Dollar","0","Units",,,36101.285601,,
"CZE","Czech Republic","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2017","2017","USD","US Dollar","0","Units",,,38842.896268,,
"CZE","Czech Republic","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2018","2018","USD","US Dollar","0","Units",,,41149.033601,,
"CZE","Czech Republic","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2019","2019","USD","US Dollar","0","Units",,,42857.229404,,
"CZE","Czech Republic","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2020","2020","USD","US Dollar","0","Units",,,41599.093008,,
